OMNET-car[0] - SUMO-car[0]: -11101396#1
OMNET-car[1] - SUMO-car[1]: -11101396#2
OMNET-car[2] - SUMO-car[10]: -26568013#1
OMNET-car[3] - SUMO-car[11]: -27173565#2
OMNET-car[4] - SUMO-car[12]: -27173565#3
OMNET-car[5] - SUMO-car[13]: -421396691#0
OMNET-car[6] - SUMO-car[14]: -425082671#0
OMNET-car[7] - SUMO-car[15]: -44737271#0
OMNET-car[8] - SUMO-car[16]: -767647776
OMNET-car[9] - SUMO-car[17]: -7971523#0
OMNET-car[10] - SUMO-car[18]: -991139332
OMNET-car[11] - SUMO-car[19]: 107078373#1
OMNET-car[12] - SUMO-car[2]: -11101490#1
OMNET-car[13] - SUMO-car[20]: 11101348#0
OMNET-car[14] - SUMO-car[21]: 11101348#1
OMNET-car[15] - SUMO-car[22]: 11101396#1
OMNET-car[16] - SUMO-car[23]: 11101396#2
OMNET-car[17] - SUMO-car[24]: 11101490#1
OMNET-car[18] - SUMO-car[25]: 11101678#2
OMNET-car[19] - SUMO-car[26]: 11101678#5
OMNET-car[20] - SUMO-car[27]: 11101678#8
OMNET-car[21] - SUMO-car[28]: 11101678#9
OMNET-car[22] - SUMO-car[29]: 11101717#1
OMNET-car[23] - SUMO-car[3]: -116931097
OMNET-car[24] - SUMO-car[30]: 11101717#4
OMNET-car[25] - SUMO-car[31]: 11101717#7
OMNET-car[26] - SUMO-car[32]: 11101830
OMNET-car[27] - SUMO-car[33]: 11101836#1
OMNET-car[28] - SUMO-car[34]: 11101896#1
OMNET-car[29] - SUMO-car[35]: 116931097
OMNET-car[30] - SUMO-car[36]: 14460667#0
OMNET-car[31] - SUMO-car[37]: 14460667#3
OMNET-car[32] - SUMO-car[38]: 16183492
OMNET-car[33] - SUMO-car[39]: 187020465#0
OMNET-car[34] - SUMO-car[4]: -16183492
OMNET-car[35] - SUMO-car[40]: 187020466
OMNET-car[36] - SUMO-car[41]: 187020467
OMNET-car[37] - SUMO-car[42]: 187020468
OMNET-car[38] - SUMO-car[43]: 195664261#0
OMNET-car[39] - SUMO-car[44]: 195664261#2
OMNET-car[40] - SUMO-car[45]: 195664262
OMNET-car[41] - SUMO-car[46]: 219137730#1
OMNET-car[42] - SUMO-car[47]: 24222352#1
OMNET-car[43] - SUMO-car[48]: 24222380#1
OMNET-car[44] - SUMO-car[49]: 24222380#4
OMNET-car[45] - SUMO-car[5]: -195664261#0
OMNET-car[46] - SUMO-car[50]: 24222380#7
OMNET-car[47] - SUMO-car[51]: 24791395#4
OMNET-car[48] - SUMO-car[52]: 24791406#1
OMNET-car[49] - SUMO-car[53]: 24791417#1
OMNET-car[50] - SUMO-car[54]: 248905968
OMNET-car[51] - SUMO-car[55]: 249767952#1
OMNET-car[52] - SUMO-car[56]: 26568013#1
OMNET-car[53] - SUMO-car[57]: 27173247
OMNET-car[54] - SUMO-car[58]: 27173565#2
OMNET-car[55] - SUMO-car[59]: 27173565#3
OMNET-car[56] - SUMO-car[6]: -195664261#2
OMNET-car[57] - SUMO-car[60]: 302644186#1
OMNET-car[58] - SUMO-car[61]: 302644186#4
OMNET-car[59] - SUMO-car[62]: 302644186#7
OMNET-car[60] - SUMO-car[63]: 334741193#0
OMNET-car[61] - SUMO-car[64]: 334741193#2
OMNET-car[62] - SUMO-car[65]: 334741193#3
OMNET-car[63] - SUMO-car[66]: 334741193#5
OMNET-car[64] - SUMO-car[67]: 334741193#7
OMNET-car[65] - SUMO-car[68]: 334741193#8
OMNET-car[66] - SUMO-car[69]: 335720387#0
OMNET-car[67] - SUMO-car[7]: -195664262
OMNET-car[68] - SUMO-car[70]: 335720387#1
OMNET-car[69] - SUMO-car[71]: 384969638#1
OMNET-car[70] - SUMO-car[72]: 392502705#1
OMNET-car[71] - SUMO-car[73]: 421396691#0
OMNET-car[72] - SUMO-car[74]: 425082671#0
OMNET-car[73] - SUMO-car[75]: 43410336#0
OMNET-car[74] - SUMO-car[76]: 43410336#1
OMNET-car[75] - SUMO-car[77]: 44336473#1
OMNET-car[76] - SUMO-car[78]: 44336474#1
OMNET-car[77] - SUMO-car[79]: 44336475#1
OMNET-car[78] - SUMO-car[8]: -219137730#1
OMNET-car[79] - SUMO-car[80]: 44336475#4
OMNET-car[80] - SUMO-car[81]: 44737271#0
OMNET-car[81] - SUMO-car[82]: 767647776
OMNET-car[82] - SUMO-car[83]: 7971522#10
OMNET-car[83] - SUMO-car[84]: 7971522#14
OMNET-car[84] - SUMO-car[85]: 7971522#15
OMNET-car[85] - SUMO-car[86]: 7971522#17
OMNET-car[86] - SUMO-car[87]: 7971522#18
OMNET-car[87] - SUMO-car[88]: 7971522#9
OMNET-car[88] - SUMO-car[89]: 7971523#0
OMNET-car[89] - SUMO-car[9]: -24222352#1
OMNET-car[90] - SUMO-car[90]: 8029884#1
OMNET-car[91] - SUMO-car[91]: 8029884#3
OMNET-car[92] - SUMO-car[92]: 8029884#4
OMNET-car[93] - SUMO-car[93]: 8029934#1
OMNET-car[94] - SUMO-car[94]: 8029934#10
OMNET-car[95] - SUMO-car[95]: 8029934#4
OMNET-car[96] - SUMO-car[96]: 8029934#5
OMNET-car[97] - SUMO-car[97]: 991139332
OMNET-car[98] - SUMO-car[98]: 993035587
