OMNET-car[0] - SUMO-car[0]: -107090824#2
OMNET-car[1] - SUMO-car[1]: -11101396#1
OMNET-car[2] - SUMO-car[10]: -219137730#1
OMNET-car[3] - SUMO-car[100]: 43410334#1
OMNET-car[4] - SUMO-car[101]: 43410334#2
OMNET-car[5] - SUMO-car[102]: 43410334#3
OMNET-car[6] - SUMO-car[103]: 43410334#5
OMNET-car[7] - SUMO-car[104]: 43410334#7
OMNET-car[8] - SUMO-car[105]: 43410334#8
OMNET-car[9] - SUMO-car[106]: 43410335#0
OMNET-car[10] - SUMO-car[107]: 43410335#1
OMNET-car[11] - SUMO-car[108]: 43410336#0
OMNET-car[12] - SUMO-car[109]: 43410336#1
OMNET-car[13] - SUMO-car[11]: -24222352#1
OMNET-car[14] - SUMO-car[110]: 43759962#0
OMNET-car[15] - SUMO-car[111]: 44336473#1
OMNET-car[16] - SUMO-car[112]: 44336474#1
OMNET-car[17] - SUMO-car[113]: 44336475#1
OMNET-car[18] - SUMO-car[114]: 44336475#4
OMNET-car[19] - SUMO-car[115]: 44737271#0
OMNET-car[20] - SUMO-car[116]: 44737273#0
OMNET-car[21] - SUMO-car[117]: 44737274#1
OMNET-car[22] - SUMO-car[118]: 44737274#2
OMNET-car[23] - SUMO-car[119]: 44737275#0
OMNET-car[24] - SUMO-car[12]: -26568013#1
OMNET-car[25] - SUMO-car[120]: 44737275#1
OMNET-car[26] - SUMO-car[121]: 45764844#5
OMNET-car[27] - SUMO-car[122]: 519998161#0
OMNET-car[28] - SUMO-car[123]: 519998878#0
OMNET-car[29] - SUMO-car[124]: 519998878#1
OMNET-car[30] - SUMO-car[125]: 519998879#0
OMNET-car[31] - SUMO-car[126]: 562895836
OMNET-car[32] - SUMO-car[127]: 562895838#0
OMNET-car[33] - SUMO-car[128]: 7642851#1
OMNET-car[34] - SUMO-car[129]: 7971522#10
OMNET-car[35] - SUMO-car[13]: -27173565#2
OMNET-car[36] - SUMO-car[130]: 7971522#14
OMNET-car[37] - SUMO-car[131]: 7971522#15
OMNET-car[38] - SUMO-car[132]: 7971522#17
OMNET-car[39] - SUMO-car[133]: 7971522#18
OMNET-car[40] - SUMO-car[134]: 7971522#6
OMNET-car[41] - SUMO-car[135]: 7971522#9
OMNET-car[42] - SUMO-car[136]: 7971523#0
OMNET-car[43] - SUMO-car[137]: 8029884#1
OMNET-car[44] - SUMO-car[138]: 8029884#3
OMNET-car[45] - SUMO-car[139]: 8029934#1
OMNET-car[46] - SUMO-car[14]: -27173565#3
OMNET-car[47] - SUMO-car[140]: 8029934#10
OMNET-car[48] - SUMO-car[141]: 8029934#13
OMNET-car[49] - SUMO-car[142]: 8029934#4
OMNET-car[50] - SUMO-car[143]: 8029934#5
OMNET-car[51] - SUMO-car[144]: 8098342
OMNET-car[52] - SUMO-car[145]: 8098348
OMNET-car[53] - SUMO-car[146]: 8572145#1
OMNET-car[54] - SUMO-car[147]: 868615046#1
OMNET-car[55] - SUMO-car[148]: 868615046#10
OMNET-car[56] - SUMO-car[149]: 868615046#4
OMNET-car[57] - SUMO-car[15]: -392502706
OMNET-car[58] - SUMO-car[150]: 868615046#6
OMNET-car[59] - SUMO-car[151]: 868615046#9
OMNET-car[60] - SUMO-car[152]: 991139332
OMNET-car[61] - SUMO-car[153]: 993035587
OMNET-car[62] - SUMO-car[16]: -421396691#0
OMNET-car[63] - SUMO-car[17]: -425082671#0
OMNET-car[64] - SUMO-car[18]: -43759962#0
OMNET-car[65] - SUMO-car[19]: -44737271#0
OMNET-car[66] - SUMO-car[2]: -11101396#2
OMNET-car[67] - SUMO-car[20]: -7971523#0
OMNET-car[68] - SUMO-car[21]: -8098344
OMNET-car[69] - SUMO-car[22]: -991139332
OMNET-car[70] - SUMO-car[23]: 107078373#1
OMNET-car[71] - SUMO-car[24]: 107090824#2
OMNET-car[72] - SUMO-car[25]: 11101348#1
OMNET-car[73] - SUMO-car[26]: 11101396#1
OMNET-car[74] - SUMO-car[27]: 11101396#2
OMNET-car[75] - SUMO-car[28]: 11101490#1
OMNET-car[76] - SUMO-car[29]: 11101678#1
OMNET-car[77] - SUMO-car[3]: -11101490#1
OMNET-car[78] - SUMO-car[30]: 11101678#2
OMNET-car[79] - SUMO-car[31]: 11101678#5
OMNET-car[80] - SUMO-car[32]: 11101678#8
OMNET-car[81] - SUMO-car[33]: 11101678#9
OMNET-car[82] - SUMO-car[34]: 11101717#1
OMNET-car[83] - SUMO-car[35]: 11101717#4
OMNET-car[84] - SUMO-car[36]: 11101717#7
OMNET-car[85] - SUMO-car[37]: 11101830
OMNET-car[86] - SUMO-car[38]: 11101836#1
OMNET-car[87] - SUMO-car[39]: 11101896#1
OMNET-car[88] - SUMO-car[4]: -116931097
OMNET-car[89] - SUMO-car[40]: 116931097
OMNET-car[90] - SUMO-car[41]: 131431668#0
OMNET-car[91] - SUMO-car[42]: 131431668#1
OMNET-car[92] - SUMO-car[43]: 14369724#1
OMNET-car[93] - SUMO-car[44]: 14459174#2
OMNET-car[94] - SUMO-car[45]: 14459753
OMNET-car[95] - SUMO-car[46]: 14459845
OMNET-car[96] - SUMO-car[47]: 14460667#0
OMNET-car[97] - SUMO-car[48]: 14460667#3
OMNET-car[98] - SUMO-car[49]: 14481788#1
OMNET-car[99] - SUMO-car[5]: -14771608
OMNET-car[100] - SUMO-car[50]: 14771608
OMNET-car[101] - SUMO-car[51]: 16183492
OMNET-car[102] - SUMO-car[52]: 187020465#0
OMNET-car[103] - SUMO-car[53]: 187020466
OMNET-car[104] - SUMO-car[54]: 187020467
OMNET-car[105] - SUMO-car[55]: 187020468
OMNET-car[106] - SUMO-car[56]: 195664261#0
OMNET-car[107] - SUMO-car[57]: 195664261#2
OMNET-car[108] - SUMO-car[58]: 195664262
OMNET-car[109] - SUMO-car[59]: 195664263#2
OMNET-car[110] - SUMO-car[6]: -16183492
OMNET-car[111] - SUMO-car[60]: 219137730#1
OMNET-car[112] - SUMO-car[61]: 24222352#1
OMNET-car[113] - SUMO-car[62]: 24222380#1
OMNET-car[114] - SUMO-car[63]: 24222380#4
OMNET-car[115] - SUMO-car[64]: 24222380#7
OMNET-car[116] - SUMO-car[65]: 24225793#10
OMNET-car[117] - SUMO-car[66]: 24791395#1
OMNET-car[118] - SUMO-car[67]: 24791395#4
OMNET-car[119] - SUMO-car[68]: 24791406#1
OMNET-car[120] - SUMO-car[69]: 24791406#4
OMNET-car[121] - SUMO-car[7]: -195664261#0
OMNET-car[122] - SUMO-car[70]: 24791417#1
OMNET-car[123] - SUMO-car[71]: 248905968
OMNET-car[124] - SUMO-car[72]: 249767952#1
OMNET-car[125] - SUMO-car[73]: 249767952#3
OMNET-car[126] - SUMO-car[74]: 255327642#9
OMNET-car[127] - SUMO-car[75]: 26568013#1
OMNET-car[128] - SUMO-car[76]: 27173247
OMNET-car[129] - SUMO-car[77]: 27173565#2
OMNET-car[130] - SUMO-car[78]: 27173565#3
OMNET-car[131] - SUMO-car[79]: 27173918#1
OMNET-car[132] - SUMO-car[8]: -195664261#2
OMNET-car[133] - SUMO-car[80]: 302644186#1
OMNET-car[134] - SUMO-car[81]: 302644186#4
OMNET-car[135] - SUMO-car[82]: 302644186#7
OMNET-car[136] - SUMO-car[83]: 334741193#0
OMNET-car[137] - SUMO-car[84]: 334741193#2
OMNET-car[138] - SUMO-car[85]: 334741193#3
OMNET-car[139] - SUMO-car[86]: 334741193#7
OMNET-car[140] - SUMO-car[87]: 334741193#8
OMNET-car[141] - SUMO-car[88]: 334741194
OMNET-car[142] - SUMO-car[89]: 335720387#0
OMNET-car[143] - SUMO-car[9]: -195664262
OMNET-car[144] - SUMO-car[90]: 335720387#1
OMNET-car[145] - SUMO-car[91]: 384969638#1
OMNET-car[146] - SUMO-car[92]: 392502704#0
OMNET-car[147] - SUMO-car[93]: 392502705#0
OMNET-car[148] - SUMO-car[94]: 392502705#1
OMNET-car[149] - SUMO-car[95]: 392502706
OMNET-car[150] - SUMO-car[96]: 421396691#0
OMNET-car[151] - SUMO-car[97]: 425082671#0
OMNET-car[152] - SUMO-car[98]: 4314421#1
OMNET-car[153] - SUMO-car[99]: 43407393#6
