OMNET-car[0] - SUMO-car[0]: -107090824#2
OMNET-car[1] - SUMO-car[1]: -11101396#1
OMNET-car[2] - SUMO-car[10]: -421396691#0
OMNET-car[3] - SUMO-car[100]: 7642851#1
OMNET-car[4] - SUMO-car[101]: 7649042#1
OMNET-car[5] - SUMO-car[102]: 7649042#4
OMNET-car[6] - SUMO-car[103]: 7649042#5
OMNET-car[7] - SUMO-car[104]: 7971522#17
OMNET-car[8] - SUMO-car[105]: 7971522#18
OMNET-car[9] - SUMO-car[106]: 7971523#0
OMNET-car[10] - SUMO-car[107]: 8029934#1
OMNET-car[11] - SUMO-car[108]: 8031768#0
OMNET-car[12] - SUMO-car[109]: 8031768#1
OMNET-car[13] - SUMO-car[11]: -425082671#0
OMNET-car[14] - SUMO-car[110]: 8098342
OMNET-car[15] - SUMO-car[111]: 8098344
OMNET-car[16] - SUMO-car[112]: 8098348
OMNET-car[17] - SUMO-car[113]: 993035587
OMNET-car[18] - SUMO-car[12]: -44737271#0
OMNET-car[19] - SUMO-car[13]: -7971523#0
OMNET-car[20] - SUMO-car[14]: -8031768#0
OMNET-car[21] - SUMO-car[15]: -8031768#1
OMNET-car[22] - SUMO-car[16]: -8098344
OMNET-car[23] - SUMO-car[17]: 107078373#1
OMNET-car[24] - SUMO-car[18]: 107090824#2
OMNET-car[25] - SUMO-car[19]: 11101348#1
OMNET-car[26] - SUMO-car[2]: -11101396#2
OMNET-car[27] - SUMO-car[20]: 11101396#1
OMNET-car[28] - SUMO-car[21]: 11101396#2
OMNET-car[29] - SUMO-car[22]: 11101490#1
OMNET-car[30] - SUMO-car[23]: 11101678#1
OMNET-car[31] - SUMO-car[24]: 11101678#2
OMNET-car[32] - SUMO-car[25]: 11101678#5
OMNET-car[33] - SUMO-car[26]: 11101896#1
OMNET-car[34] - SUMO-car[27]: 116931097
OMNET-car[35] - SUMO-car[28]: 1395587389#0
OMNET-car[36] - SUMO-car[29]: 14459174#0
OMNET-car[37] - SUMO-car[3]: -11101490#1
OMNET-car[38] - SUMO-car[30]: 14459174#1
OMNET-car[39] - SUMO-car[31]: 14459174#2
OMNET-car[40] - SUMO-car[32]: 14459386#0
OMNET-car[41] - SUMO-car[33]: 14459386#1
OMNET-car[42] - SUMO-car[34]: 14459753
OMNET-car[43] - SUMO-car[35]: 14459845
OMNET-car[44] - SUMO-car[36]: 14460667#0
OMNET-car[45] - SUMO-car[37]: 14460667#3
OMNET-car[46] - SUMO-car[38]: 161793151#0
OMNET-car[47] - SUMO-car[39]: 161793151#1
OMNET-car[48] - SUMO-car[4]: -116931097
OMNET-car[49] - SUMO-car[40]: 161793152#1
OMNET-car[50] - SUMO-car[41]: 161793152#2
OMNET-car[51] - SUMO-car[42]: 16183492
OMNET-car[52] - SUMO-car[43]: 219137730#1
OMNET-car[53] - SUMO-car[44]: 24222352#1
OMNET-car[54] - SUMO-car[45]: 24225793#10
OMNET-car[55] - SUMO-car[46]: 24225793#3
OMNET-car[56] - SUMO-car[47]: 24225793#5
OMNET-car[57] - SUMO-car[48]: 24225793#6
OMNET-car[58] - SUMO-car[49]: 24225793#8
OMNET-car[59] - SUMO-car[5]: -1395587389#0
OMNET-car[60] - SUMO-car[50]: 249767952#1
OMNET-car[61] - SUMO-car[51]: 249767952#3
OMNET-car[62] - SUMO-car[52]: 27173247
OMNET-car[63] - SUMO-car[53]: 27173716#1
OMNET-car[64] - SUMO-car[54]: 27173918#1
OMNET-car[65] - SUMO-car[55]: 27173918#2
OMNET-car[66] - SUMO-car[56]: 27464019#1
OMNET-car[67] - SUMO-car[57]: 27926842#0
OMNET-car[68] - SUMO-car[58]: 27926842#2
OMNET-car[69] - SUMO-car[59]: 27926842#3
OMNET-car[70] - SUMO-car[6]: -16183492
OMNET-car[71] - SUMO-car[60]: 335720387#0
OMNET-car[72] - SUMO-car[61]: 335720387#1
OMNET-car[73] - SUMO-car[62]: 421396691#0
OMNET-car[74] - SUMO-car[63]: 425082671#0
OMNET-car[75] - SUMO-car[64]: 4314421#1
OMNET-car[76] - SUMO-car[65]: 4314421#4
OMNET-car[77] - SUMO-car[66]: 4314421#6
OMNET-car[78] - SUMO-car[67]: 4314423#0
OMNET-car[79] - SUMO-car[68]: 4314423#1
OMNET-car[80] - SUMO-car[69]: 4314423#3
OMNET-car[81] - SUMO-car[7]: -219137730#1
OMNET-car[82] - SUMO-car[70]: 4314423#4
OMNET-car[83] - SUMO-car[71]: 4321669#0
OMNET-car[84] - SUMO-car[72]: 4321669#1
OMNET-car[85] - SUMO-car[73]: 43407393#1
OMNET-car[86] - SUMO-car[74]: 43407393#3
OMNET-car[87] - SUMO-car[75]: 43407393#6
OMNET-car[88] - SUMO-car[76]: 43410334#1
OMNET-car[89] - SUMO-car[77]: 43410334#2
OMNET-car[90] - SUMO-car[78]: 43410334#3
OMNET-car[91] - SUMO-car[79]: 43410334#5
OMNET-car[92] - SUMO-car[8]: -24222352#1
OMNET-car[93] - SUMO-car[80]: 43410334#7
OMNET-car[94] - SUMO-car[81]: 43410334#8
OMNET-car[95] - SUMO-car[82]: 43410335#0
OMNET-car[96] - SUMO-car[83]: 43410336#0
OMNET-car[97] - SUMO-car[84]: 43410336#1
OMNET-car[98] - SUMO-car[85]: 44336472#1
OMNET-car[99] - SUMO-car[86]: 44336472#4
OMNET-car[100] - SUMO-car[87]: 44336472#5
OMNET-car[101] - SUMO-car[88]: 44336472#8
OMNET-car[102] - SUMO-car[89]: 44336473#1
OMNET-car[103] - SUMO-car[9]: -27173716#1
OMNET-car[104] - SUMO-car[90]: 44336474#1
OMNET-car[105] - SUMO-car[91]: 44336475#1
OMNET-car[106] - SUMO-car[92]: 44336475#4
OMNET-car[107] - SUMO-car[93]: 44737271#0
OMNET-car[108] - SUMO-car[94]: 44737273#0
OMNET-car[109] - SUMO-car[95]: 4489718#0
OMNET-car[110] - SUMO-car[96]: 45764844#5
OMNET-car[111] - SUMO-car[97]: 469451505#0
OMNET-car[112] - SUMO-car[98]: 562895836
OMNET-car[113] - SUMO-car[99]: 562895838#0
