vehículo[0]: 0.09912Mbps
vehículo[1]: 24.93456Mbps
vehículo[2]: 24.93456Mbps
vehículo[3]: 24.9354Mbps
vehículo[4]: 24.93568Mbps
vehículo[5]: 24.93596Mbps
vehículo[6]: 24.93568Mbps
vehículo[7]: 24.93456Mbps
vehículo[8]: 24.93596Mbps
vehículo[9]: 24.93568Mbps
vehículo[10]: 24.93484Mbps
vehículo[11]: 24.93456Mbps
vehículo[12]: 24.93568Mbps
vehículo[13]: 24.93484Mbps
vehículo[14]: 24.93512Mbps
vehículo[15]: 24.93512Mbps
vehículo[16]: 24.93568Mbps
vehículo[17]: 24.93568Mbps
vehículo[18]: 24.9354Mbps
vehículo[19]: 24.9354Mbps
vehículo[20]: 24.9354Mbps
vehículo[21]: 24.93512Mbps
vehículo[22]: 24.9354Mbps
vehículo[23]: 24.93568Mbps
vehículo[24]: 24.93568Mbps
vehículo[25]: 24.93456Mbps
vehículo[26]: 24.93428Mbps
vehículo[27]: 24.93456Mbps
vehículo[28]: 24.93456Mbps
vehículo[29]: 24.93512Mbps
vehículo[30]: 24.9354Mbps
vehículo[31]: 24.93428Mbps
vehículo[32]: 24.93512Mbps
vehículo[33]: 24.93568Mbps
vehículo[34]: 24.93484Mbps
vehículo[35]: 24.9354Mbps
vehículo[36]: 24.93456Mbps
vehículo[37]: 24.93484Mbps
vehículo[38]: 24.93512Mbps
vehículo[39]: 24.93456Mbps
vehículo[40]: 24.93512Mbps
vehículo[41]: 24.93512Mbps
vehículo[42]: 24.93484Mbps
vehículo[43]: 24.9354Mbps
vehículo[44]: 24.93512Mbps
vehículo[45]: 24.93484Mbps
vehículo[46]: 24.93456Mbps
vehículo[47]: 24.93512Mbps
vehículo[48]: 24.93512Mbps
vehículo[49]: 24.9354Mbps
vehículo[50]: 24.93456Mbps
vehículo[51]: 24.93568Mbps
vehículo[52]: 24.93512Mbps
vehículo[53]: 24.93512Mbps
vehículo[54]: 24.93512Mbps
vehículo[55]: 24.93568Mbps
vehículo[56]: 24.9354Mbps
vehículo[57]: 24.93568Mbps
vehículo[58]: 24.93484Mbps
vehículo[59]: 24.93568Mbps
vehículo[60]: 24.9354Mbps
vehículo[61]: 24.93512Mbps
vehículo[62]: 24.93512Mbps
vehículo[63]: 24.93512Mbps
vehículo[64]: 24.9354Mbps
vehículo[65]: 24.93428Mbps
vehículo[66]: 24.93568Mbps
vehículo[67]: 24.93428Mbps
vehículo[68]: 24.93428Mbps
vehículo[69]: 24.93512Mbps
vehículo[70]: 24.93456Mbps
vehículo[71]: 24.93456Mbps
vehículo[72]: 24.93456Mbps
vehículo[73]: 24.93512Mbps
vehículo[74]: 24.93512Mbps
vehículo[75]: 24.93512Mbps
vehículo[76]: 24.93456Mbps
vehículo[77]: 24.9354Mbps
vehículo[78]: 24.9354Mbps
vehículo[79]: 24.93428Mbps
vehículo[80]: 24.93568Mbps
vehículo[81]: 24.93512Mbps
vehículo[82]: 0.0952Mbps
vehículo[83]: 24.93512Mbps
vehículo[84]: 24.93512Mbps
vehículo[85]: 24.93512Mbps
vehículo[86]: 24.93568Mbps
vehículo[87]: 24.93596Mbps
vehículo[88]: 24.93456Mbps
vehículo[89]: 24.93484Mbps
vehículo[90]: 24.93456Mbps
vehículo[91]: 24.93512Mbps
vehículo[92]: 24.93568Mbps
vehículo[93]: 24.93596Mbps
vehículo[94]: 24.93456Mbps
vehículo[95]: 24.93568Mbps
vehículo[96]: 24.9354Mbps
vehículo[97]: 24.93512Mbps
vehículo[98]: 24.93568Mbps
vehículo[99]: 24.93484Mbps
vehículo[100]: 24.9354Mbps
vehículo[101]: 24.93512Mbps
vehículo[102]: 24.93568Mbps
vehículo[103]: 24.93456Mbps
vehículo[104]: 24.93456Mbps
