OMNET-car[0] - SUMO-car[0]: -14771608
OMNET-car[1] - SUMO-car[1]: -195664261#0
OMNET-car[2] - SUMO-car[10]: -43759962#0
OMNET-car[3] - SUMO-car[100]: 8029934#4
OMNET-car[4] - SUMO-car[101]: 8029934#5
OMNET-car[5] - SUMO-car[102]: 83668209#1
OMNET-car[6] - SUMO-car[103]: 83668215#0
OMNET-car[7] - SUMO-car[104]: 8572145#1
OMNET-car[8] - SUMO-car[105]: 8572147
OMNET-car[9] - SUMO-car[106]: 868615044#1
OMNET-car[10] - SUMO-car[107]: 868615044#2
OMNET-car[11] - SUMO-car[108]: 868615045#1
OMNET-car[12] - SUMO-car[109]: 868615045#2
OMNET-car[13] - SUMO-car[11]: -83668209#1
OMNET-car[14] - SUMO-car[110]: 868615045#4
OMNET-car[15] - SUMO-car[111]: 868615045#6
OMNET-car[16] - SUMO-car[112]: 868615046#1
OMNET-car[17] - SUMO-car[113]: 868615046#10
OMNET-car[18] - SUMO-car[114]: 868615046#4
OMNET-car[19] - SUMO-car[115]: 868615046#6
OMNET-car[20] - SUMO-car[116]: 868615046#9
OMNET-car[21] - SUMO-car[117]: 991139332
OMNET-car[22] - SUMO-car[12]: -83668213#1
OMNET-car[23] - SUMO-car[13]: -83668215#0
OMNET-car[24] - SUMO-car[14]: -8572147
OMNET-car[25] - SUMO-car[15]: -991139332
OMNET-car[26] - SUMO-car[16]: 11101678#5
OMNET-car[27] - SUMO-car[17]: 11101678#8
OMNET-car[28] - SUMO-car[18]: 11101678#9
OMNET-car[29] - SUMO-car[19]: 11101717#1
OMNET-car[30] - SUMO-car[2]: -195664261#2
OMNET-car[31] - SUMO-car[20]: 11101717#4
OMNET-car[32] - SUMO-car[21]: 11101717#7
OMNET-car[33] - SUMO-car[22]: 11101830
OMNET-car[34] - SUMO-car[23]: 11101836#1
OMNET-car[35] - SUMO-car[24]: 131431668#0
OMNET-car[36] - SUMO-car[25]: 131431668#1
OMNET-car[37] - SUMO-car[26]: 14369724#1
OMNET-car[38] - SUMO-car[27]: 14369724#2
OMNET-car[39] - SUMO-car[28]: 14481788#1
OMNET-car[40] - SUMO-car[29]: 14771608
OMNET-car[41] - SUMO-car[3]: -195664262
