OMNET-car[0] - SUMO-car[0]: -14771608
OMNET-car[1] - SUMO-car[10]: -83668209#1
OMNET-car[2] - SUMO-car[100]: 868615046#9
OMNET-car[3] - SUMO-car[101]: 868615046#9
OMNET-car[4] - SUMO-car[11]: -83668209#1
OMNET-car[5] - SUMO-car[12]: -83668213#1
OMNET-car[6] - SUMO-car[13]: -83668213#1
OMNET-car[7] - SUMO-car[14]: -83668215#0
OMNET-car[8] - SUMO-car[15]: -83668215#0
OMNET-car[9] - SUMO-car[16]: 131431668#0
OMNET-car[10] - SUMO-car[17]: 131431668#0
OMNET-car[11] - SUMO-car[18]: 131431668#1
OMNET-car[12] - SUMO-car[19]: 131431668#1
OMNET-car[13] - SUMO-car[2]: -27173565#2
OMNET-car[14] - SUMO-car[20]: 14369724#1
OMNET-car[15] - SUMO-car[21]: 14369724#1
OMNET-car[16] - SUMO-car[22]: 14369724#2
OMNET-car[17] - SUMO-car[23]: 14369724#2
OMNET-car[18] - SUMO-car[24]: 14771608
OMNET-car[19] - SUMO-car[26]: 195664263#2
OMNET-car[20] - SUMO-car[27]: 195664263#2
OMNET-car[21] - SUMO-car[28]: 24791395#1
OMNET-car[22] - SUMO-car[29]: 24791395#1
OMNET-car[23] - SUMO-car[3]: -27173565#2
OMNET-car[24] - SUMO-car[30]: 24791395#4
OMNET-car[25] - SUMO-car[31]: 24791395#4
OMNET-car[26] - SUMO-car[32]: 24791406#4
OMNET-car[27] - SUMO-car[33]: 24791406#4
OMNET-car[28] - SUMO-car[34]: 24791417#1
OMNET-car[29] - SUMO-car[35]: 24791417#1
OMNET-car[30] - SUMO-car[36]: 27173565#2
OMNET-car[31] - SUMO-car[37]: 27173565#2
OMNET-car[32] - SUMO-car[38]: 302644186#7
OMNET-car[33] - SUMO-car[39]: 302644186#7
OMNET-car[34] - SUMO-car[4]: -392502706
OMNET-car[35] - SUMO-car[40]: 334741194
OMNET-car[36] - SUMO-car[41]: 334741194
OMNET-car[37] - SUMO-car[42]: 392502704#0
OMNET-car[38] - SUMO-car[43]: 392502704#0
OMNET-car[39] - SUMO-car[44]: 392502705#0
OMNET-car[40] - SUMO-car[46]: 392502706
OMNET-car[41] - SUMO-car[48]: 43759960#0
OMNET-car[42] - SUMO-car[49]: 43759960#0
OMNET-car[43] - SUMO-car[50]: 43759962#0
OMNET-car[44] - SUMO-car[51]: 43759962#0
OMNET-car[45] - SUMO-car[52]: 7971522#3
OMNET-car[46] - SUMO-car[53]: 7971522#3
OMNET-car[47] - SUMO-car[54]: 7971522#4
OMNET-car[48] - SUMO-car[55]: 7971522#4
OMNET-car[49] - SUMO-car[56]: 7971522#6
OMNET-car[50] - SUMO-car[57]: 7971522#6
OMNET-car[51] - SUMO-car[58]: 7971522#9
OMNET-car[52] - SUMO-car[59]: 7971522#9
OMNET-car[53] - SUMO-car[6]: -43759960#0
OMNET-car[54] - SUMO-car[60]: 8029920#1
OMNET-car[55] - SUMO-car[61]: 8029920#1
OMNET-car[56] - SUMO-car[62]: 8029920#2
OMNET-car[57] - SUMO-car[63]: 8029920#2
OMNET-car[58] - SUMO-car[64]: 8029920#3
OMNET-car[59] - SUMO-car[65]: 8029920#3
OMNET-car[60] - SUMO-car[66]: 8029920#4
OMNET-car[61] - SUMO-car[67]: 8029920#4
OMNET-car[62] - SUMO-car[68]: 8029920#6
OMNET-car[63] - SUMO-car[69]: 8029920#6
OMNET-car[64] - SUMO-car[7]: -43759960#0
OMNET-car[65] - SUMO-car[70]: 8029920#8
OMNET-car[66] - SUMO-car[71]: 8029920#8
OMNET-car[67] - SUMO-car[72]: 8029934#10
OMNET-car[68] - SUMO-car[73]: 8029934#10
OMNET-car[69] - SUMO-car[74]: 8029934#13
OMNET-car[70] - SUMO-car[75]: 8029934#13
OMNET-car[71] - SUMO-car[76]: 8029934#15
OMNET-car[72] - SUMO-car[77]: 8029934#15
OMNET-car[73] - SUMO-car[78]: 8029934#16
OMNET-car[74] - SUMO-car[79]: 8029934#16
OMNET-car[75] - SUMO-car[8]: -43759962#0
OMNET-car[76] - SUMO-car[80]: 83668209#1
OMNET-car[77] - SUMO-car[81]: 83668209#1
OMNET-car[78] - SUMO-car[82]: 83668215#0
OMNET-car[79] - SUMO-car[83]: 83668215#0
OMNET-car[80] - SUMO-car[84]: 868615045#1
OMNET-car[81] - SUMO-car[85]: 868615045#1
OMNET-car[82] - SUMO-car[86]: 868615045#2
OMNET-car[83] - SUMO-car[87]: 868615045#2
OMNET-car[84] - SUMO-car[88]: 868615045#4
OMNET-car[85] - SUMO-car[89]: 868615045#4
OMNET-car[86] - SUMO-car[9]: -43759962#0
OMNET-car[87] - SUMO-car[90]: 868615045#6
OMNET-car[88] - SUMO-car[91]: 868615045#6
OMNET-car[89] - SUMO-car[92]: 868615046#1
OMNET-car[90] - SUMO-car[93]: 868615046#1
OMNET-car[91] - SUMO-car[94]: 868615046#10
OMNET-car[92] - SUMO-car[95]: 868615046#10
OMNET-car[93] - SUMO-car[96]: 868615046#4
OMNET-car[94] - SUMO-car[97]: 868615046#4
OMNET-car[95] - SUMO-car[98]: 868615046#6
OMNET-car[96] - SUMO-car[99]: 868615046#6
