OMNET-car[0] - SUMO-car[0]: -11101490#1
OMNET-car[1] - SUMO-car[1]: 104340951#0
OMNET-car[2] - SUMO-car[10]: 255327642#5
OMNET-car[3] - SUMO-car[11]: 255327642#6
OMNET-car[4] - SUMO-car[12]: 255327642#9
OMNET-car[5] - SUMO-car[13]: 255825107#0
OMNET-car[6] - SUMO-car[14]: 334741193#8
OMNET-car[7] - SUMO-car[15]: 43410335#0
OMNET-car[8] - SUMO-car[16]: 43410335#1
OMNET-car[9] - SUMO-car[17]: 43410335#2
OMNET-car[10] - SUMO-car[18]: 44335079
OMNET-car[11] - SUMO-car[19]: 44737274#1
OMNET-car[12] - SUMO-car[2]: 104340960
OMNET-car[13] - SUMO-car[20]: 44737274#2
OMNET-car[14] - SUMO-car[21]: 44737275#0
OMNET-car[15] - SUMO-car[22]: 44737275#1
OMNET-car[16] - SUMO-car[23]: 44737275#10
OMNET-car[17] - SUMO-car[24]: 44737275#2
OMNET-car[18] - SUMO-car[25]: 44737275#3
OMNET-car[19] - SUMO-car[26]: 44737275#4
OMNET-car[20] - SUMO-car[27]: 44737275#5
OMNET-car[21] - SUMO-car[28]: 45764847#2
OMNET-car[22] - SUMO-car[29]: 45764848#0
OMNET-car[23] - SUMO-car[3]: 104340979
OMNET-car[24] - SUMO-car[30]: 45764848#1
OMNET-car[25] - SUMO-car[31]: 519998879#0
OMNET-car[26] - SUMO-car[32]: 7642851#1
OMNET-car[27] - SUMO-car[33]: 7732165#4
OMNET-car[28] - SUMO-car[34]: 7732165#7
OMNET-car[29] - SUMO-car[35]: 8029715#0
OMNET-car[30] - SUMO-car[36]: 8029884#1
OMNET-car[31] - SUMO-car[4]: 11100665#1
OMNET-car[32] - SUMO-car[5]: 11101490#1
OMNET-car[33] - SUMO-car[6]: 11101678#1
OMNET-car[34] - SUMO-car[7]: 11101678#2
OMNET-car[35] - SUMO-car[8]: 24275863#0
OMNET-car[36] - SUMO-car[9]: 255327642#2
