OMNET-car[0] - SUMO-car[0]: -11101396#1
OMNET-car[1] - SUMO-car[1]: -11101490#1
OMNET-car[2] - SUMO-car[10]: 11101678#2
OMNET-car[3] - SUMO-car[11]: 11101678#5
OMNET-car[4] - SUMO-car[12]: 14459174#2
OMNET-car[5] - SUMO-car[13]: 14481788#1
OMNET-car[6] - SUMO-car[14]: 14481788#3
OMNET-car[7] - SUMO-car[15]: 14481788#4
OMNET-car[8] - SUMO-car[16]: 14481788#6
OMNET-car[9] - SUMO-car[17]: 14481788#9
OMNET-car[10] - SUMO-car[18]: 24225793#10
OMNET-car[11] - SUMO-car[19]: 24275863#0
OMNET-car[12] - SUMO-car[2]: 104340951#0
OMNET-car[13] - SUMO-car[20]: 24791395#1
OMNET-car[14] - SUMO-car[21]: 24791395#4
OMNET-car[15] - SUMO-car[22]: 24791406#1
OMNET-car[16] - SUMO-car[23]: 24791406#4
OMNET-car[17] - SUMO-car[24]: 255327642#2
OMNET-car[18] - SUMO-car[25]: 255327642#5
OMNET-car[19] - SUMO-car[26]: 255327642#6
OMNET-car[20] - SUMO-car[27]: 255327642#9
OMNET-car[21] - SUMO-car[28]: 255825107#0
OMNET-car[22] - SUMO-car[29]: 334741193#3
OMNET-car[23] - SUMO-car[3]: 104340960
OMNET-car[24] - SUMO-car[30]: 334741193#7
OMNET-car[25] - SUMO-car[31]: 334741193#8
OMNET-car[26] - SUMO-car[32]: 335720387#0
OMNET-car[27] - SUMO-car[33]: 335720387#1
OMNET-car[28] - SUMO-car[34]: 384969638#1
OMNET-car[29] - SUMO-car[35]: 43410334#1
OMNET-car[30] - SUMO-car[36]: 43410334#2
OMNET-car[31] - SUMO-car[37]: 43410334#3
OMNET-car[32] - SUMO-car[38]: 43410334#5
OMNET-car[33] - SUMO-car[39]: 43410335#0
OMNET-car[34] - SUMO-car[4]: 104340979
OMNET-car[35] - SUMO-car[40]: 43410335#1
OMNET-car[36] - SUMO-car[41]: 43410336#0
OMNET-car[37] - SUMO-car[42]: 43410336#1
OMNET-car[38] - SUMO-car[43]: 44335079
OMNET-car[39] - SUMO-car[44]: 44737274#1
OMNET-car[40] - SUMO-car[45]: 44737274#2
OMNET-car[41] - SUMO-car[46]: 44737275#0
OMNET-car[42] - SUMO-car[47]: 44737275#1
OMNET-car[43] - SUMO-car[48]: 44737275#10
OMNET-car[44] - SUMO-car[49]: 44737275#2
OMNET-car[45] - SUMO-car[5]: 11100665#1
OMNET-car[46] - SUMO-car[50]: 44737275#4
OMNET-car[47] - SUMO-car[51]: 44737275#5
OMNET-car[48] - SUMO-car[52]: 45764844#2
OMNET-car[49] - SUMO-car[53]: 45764844#4
OMNET-car[50] - SUMO-car[54]: 45764844#5
OMNET-car[51] - SUMO-car[55]: 45764847#2
OMNET-car[52] - SUMO-car[56]: 45764848#0
OMNET-car[53] - SUMO-car[57]: 45764848#1
OMNET-car[54] - SUMO-car[58]: 519998161#0
OMNET-car[55] - SUMO-car[59]: 519998878#0
OMNET-car[56] - SUMO-car[6]: 11101348#1
OMNET-car[57] - SUMO-car[60]: 519998878#1
OMNET-car[58] - SUMO-car[61]: 519998879#0
OMNET-car[59] - SUMO-car[62]: 756122281#0
OMNET-car[60] - SUMO-car[63]: 7642851#1
OMNET-car[61] - SUMO-car[64]: 7732165#2
OMNET-car[62] - SUMO-car[65]: 7732165#3
OMNET-car[63] - SUMO-car[66]: 7732165#4
OMNET-car[64] - SUMO-car[67]: 7732165#7
OMNET-car[65] - SUMO-car[68]: 7971522#10
OMNET-car[66] - SUMO-car[69]: 7971522#14
OMNET-car[67] - SUMO-car[7]: 11101396#1
OMNET-car[68] - SUMO-car[70]: 7971522#15
OMNET-car[69] - SUMO-car[71]: 7971522#17
OMNET-car[70] - SUMO-car[72]: 7971522#18
OMNET-car[71] - SUMO-car[73]: 7971522#6
OMNET-car[72] - SUMO-car[74]: 7971522#9
OMNET-car[73] - SUMO-car[75]: 7971918#1
OMNET-car[74] - SUMO-car[76]: 7971920#0
OMNET-car[75] - SUMO-car[77]: 8029715#0
OMNET-car[76] - SUMO-car[78]: 8029884#1
OMNET-car[77] - SUMO-car[79]: 8029884#3
OMNET-car[78] - SUMO-car[8]: 11101490#1
OMNET-car[79] - SUMO-car[80]: 8572145#1
OMNET-car[80] - SUMO-car[81]: 868615046#10
OMNET-car[81] - SUMO-car[82]: 868615046#6
OMNET-car[82] - SUMO-car[83]: 868615046#9
OMNET-car[83] - SUMO-car[9]: 11101678#1
