OMNET-car[0] - SUMO-car[0]: -11101396#1
OMNET-car[1] - SUMO-car[1]: -11101490#1
OMNET-car[2] - SUMO-car[10]: 11101678#1
OMNET-car[3] - SUMO-car[11]: 11101678#2
OMNET-car[4] - SUMO-car[12]: 11101678#5
OMNET-car[5] - SUMO-car[13]: 1395587389#0
OMNET-car[6] - SUMO-car[14]: 14459174#0
OMNET-car[7] - SUMO-car[15]: 14459174#1
OMNET-car[8] - SUMO-car[16]: 14459174#2
OMNET-car[9] - SUMO-car[17]: 182096890
OMNET-car[10] - SUMO-car[18]: 24225793#10
OMNET-car[11] - SUMO-car[19]: 24225793#3
OMNET-car[12] - SUMO-car[2]: -1395587389#0
OMNET-car[13] - SUMO-car[20]: 24225793#5
OMNET-car[14] - SUMO-car[21]: 24225793#6
OMNET-car[15] - SUMO-car[22]: 24225793#8
OMNET-car[16] - SUMO-car[23]: 303407842#0
OMNET-car[17] - SUMO-car[24]: 303407842#1
OMNET-car[18] - SUMO-car[25]: 335720387#0
OMNET-car[19] - SUMO-car[26]: 335720387#1
OMNET-car[20] - SUMO-car[27]: 43410334#1
OMNET-car[21] - SUMO-car[28]: 43410334#2
OMNET-car[22] - SUMO-car[29]: 43410334#3
OMNET-car[23] - SUMO-car[3]: -182096890
OMNET-car[24] - SUMO-car[30]: 43410334#5
OMNET-car[25] - SUMO-car[31]: 43410335#0
OMNET-car[26] - SUMO-car[32]: 43410336#0
OMNET-car[27] - SUMO-car[33]: 43410336#1
OMNET-car[28] - SUMO-car[34]: 44335068#0
OMNET-car[29] - SUMO-car[35]: 44335068#1
OMNET-car[30] - SUMO-car[36]: 44335079
OMNET-car[31] - SUMO-car[37]: 44336472#8
OMNET-car[32] - SUMO-car[38]: 44737275#10
OMNET-car[33] - SUMO-car[39]: 44737275#5
OMNET-car[34] - SUMO-car[4]: -4489541
OMNET-car[35] - SUMO-car[40]: 4489519#0
OMNET-car[36] - SUMO-car[41]: 4489519#1
OMNET-car[37] - SUMO-car[42]: 4489519#3
OMNET-car[38] - SUMO-car[43]: 4489541
OMNET-car[39] - SUMO-car[44]: 4489718#0
OMNET-car[40] - SUMO-car[45]: 4489718#1
OMNET-car[41] - SUMO-car[46]: 4489718#2
OMNET-car[42] - SUMO-car[47]: 45764844#2
OMNET-car[43] - SUMO-car[48]: 45764844#4
OMNET-car[44] - SUMO-car[49]: 45764844#5
OMNET-car[45] - SUMO-car[5]: 104340951#0
OMNET-car[46] - SUMO-car[50]: 45764847#2
OMNET-car[47] - SUMO-car[51]: 45764848#0
OMNET-car[48] - SUMO-car[52]: 45764848#1
OMNET-car[49] - SUMO-car[53]: 469451505#0
OMNET-car[50] - SUMO-car[54]: 4946755#1
OMNET-car[51] - SUMO-car[55]: 4946755#2
OMNET-car[52] - SUMO-car[56]: 756122281#0
OMNET-car[53] - SUMO-car[57]: 756122284#0
OMNET-car[54] - SUMO-car[58]: 756122284#1
OMNET-car[55] - SUMO-car[59]: 7642851#1
OMNET-car[56] - SUMO-car[6]: 11101038
OMNET-car[57] - SUMO-car[60]: 7712487
OMNET-car[58] - SUMO-car[61]: 7971522#17
OMNET-car[59] - SUMO-car[62]: 7971522#18
OMNET-car[60] - SUMO-car[63]: 7971918#1
OMNET-car[61] - SUMO-car[64]: 7971919#0
OMNET-car[62] - SUMO-car[65]: 7971919#2
OMNET-car[63] - SUMO-car[66]: 7971920#0
OMNET-car[64] - SUMO-car[7]: 11101348#1
OMNET-car[65] - SUMO-car[8]: 11101396#1
OMNET-car[66] - SUMO-car[9]: 11101490#1
